county,date_str,num_events_by_county,num_devices_by_county,avg_events_by_county
Cook County,2019-03-01,281264,24081,11.679913624849467
Cook County,2019-03-02,269764,23556,11.452029206996095
Cook County,2019-03-03,234367,22972,10.202289744036218
Cook County,2019-03-04,46717,12893,3.623439075467308
Cook County,2019-03-05,274209,24129,11.364291930871566
Cook County,2019-03-06,276606,24158,11.449871678119049
Cook County,2019-03-07,278743,24249,11.49503072291641
Cook County,2019-03-08,259401,24025,10.797127991675339
Cook County,2019-03-09,275785,23761,11.60662430032406
Cook County,2019-03-10,248548,23427,10.60946770819994
Cook County,2019-03-11,273749,24591,11.132080842584685
Cook County,2019-03-12,285710,24719,11.558315465835996
Cook County,2019-03-13,282932,24622,11.491024287222809
Cook County,2019-03-14,294419,24746,11.89764002262992
Cook County,2019-03-15,293164,24404,12.012948696934929
Cook County,2019-03-16,280492,24133,11.622757220403598
Cook County,2019-03-17,252331,23847,10.581247117037783
Cook County,2019-03-18,275060,24672,11.148670557717251
Cook County,2019-03-19,286221,24843,11.521193092621663
Cook County,2019-03-20,283020,24515,11.544768509076075
Cook County,2019-03-21,282630,24440,11.564238952536824
Cook County,2019-03-22,285631,24366,11.722523188048921
Cook County,2019-03-23,263807,23623,11.167379249036955
Cook County,2019-03-24,217609,22141,9.828327537148278
Cook County,2019-03-25,232449,22790,10.199605089951733
Cook County,2019-03-26,238837,22796,10.47714511317775
Cook County,2019-03-27,243552,22945,10.614600130747439
Cook County,2019-03-28,247481,23070,10.727394885132206
Cook County,2019-03-29,253108,23193,10.913120338033027
Cook County,2019-03-30,232282,22954,10.119456303912171
Cook County,2019-03-31,220617,23680,9.316596283783785
Cook County,2019-04-01,241182,24904,9.684468358496627
Cook County,2019-04-02,246619,25164,9.800468923859482
Cook County,2019-04-03,278518,25482,10.929989796719253
Cook County,2019-04-04,266261,25039,10.633851192140261
Cook County,2019-04-05,272798,25374,10.751083786553165
Cook County,2019-04-06,254899,25512,9.991337409846347
Cook County,2019-04-07,249944,25053,9.976609587674131
Cook County,2019-04-08,278585,26082,10.681121079671804
Cook County,2019-04-09,292924,26057,11.241662509114633
Cook County,2019-04-10,281923,25376,11.10982818411097
Cook County,2019-04-11,271437,25509,10.640832647300952
Cook County,2019-04-12,279589,25441,10.989701662670493
Cook County,2019-04-13,284993,25198,11.310143662195411
Cook County,2019-04-14,229015,23718,9.655746690277427
Cook County,2019-04-15,278346,25344,10.982717803030303
Cook County,2019-04-16,298146,25732,11.586584797139748
Cook County,2019-04-17,302211,25757,11.733159917692278
Cook County,2019-04-18,299730,25367,11.815744865376276
Cook County,2019-04-19,296830,25109,11.821657572981799
Cook County,2019-04-20,300812,25144,11.963569837734648
Cook County,2019-04-21,252398,25264,9.990421152628246
Cook County,2019-04-22,306474,26449,11.587356799879013
Cook County,2019-04-23,293256,25932,11.308653401203147
Cook County,2019-04-24,304961,26042,11.710352507487904
Cook County,2019-04-25,307105,26207,11.718434006181555
Cook County,2019-04-26,317356,26287,12.072735572716551
Cook County,2019-04-27,284154,25053,11.342114716800383
Cook County,2019-04-28,259615,25204,10.300547532137756
Cook County,2019-04-29,290620,25902,11.219983012894756
Cook County,2019-04-30,295865,25806,11.464969386964272
Cook County,2019-05-01,302716,26165,11.569501242117333
Cook County,2019-05-02,303609,25917,11.714666049311264
Cook County,2019-05-03,317335,26406,12.017533893812013
Cook County,2019-05-04,307965,26401,11.664899056853907
Cook County,2019-05-05,297138,26733,11.1150263718999
Cook County,2019-05-06,311401,26914,11.570223675410567
Cook County,2019-05-07,306021,26326,11.62428777634278
Cook County,2019-05-08,307672,26507,11.60719809861546
Cook County,2019-05-09,317022,26667,11.888176397795027
Cook County,2019-05-10,326105,26765,12.18400896693443
Cook County,2019-05-11,312955,26009,12.0325656503518
Cook County,2019-05-12,271721,25696,10.574447384806973
Cook County,2019-05-13,307299,26982,11.389037135868357
Cook County,2019-05-14,326055,27259,11.961370556513446
Cook County,2019-05-15,328534,27299,12.034653284003078
Cook County,2019-05-16,331720,27216,12.188418577307466
Cook County,2019-05-17,330611,26813,12.330250251743557
Cook County,2019-05-18,320055,26604,12.030333784393324
Cook County,2019-05-19,295775,26505,11.159215242407093
Cook County,2019-05-20,314099,27169,11.56093341676175
Cook County,2019-05-21,315257,26695,11.809589810825997
Cook County,2019-05-22,331185,27373,12.09896613451211
Cook County,2019-05-23,342548,27672,12.378866724486846
Cook County,2019-05-24,341573,27327,12.499469389248729
Cook County,2019-05-25,307406,26064,11.794275629220381
Cook County,2019-05-26,267873,24854,10.777862718274724
Cook County,2019-05-27,275265,26388,10.43144611186903
Cook County,2019-05-28,316422,27223,11.623333210887852
Cook County,2019-05-29,326062,27397,11.901376063072599
Cook County,2019-05-30,334403,27749,12.050992828570399
Cook County,2019-05-31,352962,27887,12.656865206009968
Cook County,2019-06-01,340275,27309,12.4601779633088
Cook County,2019-06-02,302196,27291,11.073101022315049
Cook County,2019-06-03,323746,27761,11.661899787471633
Cook County,2019-06-04,323670,27466,11.784387970581811
Cook County,2019-06-05,334287,27588,12.117116137451065
Cook County,2019-06-06,333690,27690,12.05092091007584
Cook County,2019-06-07,340214,27689,12.286973166239301
Cook County,2019-06-08,324633,27132,11.964949137549757
Cook County,2019-06-09,285020,26691,10.678505863399648
Cook County,2019-06-10,317998,27584,11.528349767981439
Cook County,2019-06-11,330265,27718,11.915181470524569
Cook County,2019-06-12,319689,27279,11.719234576047509
Cook County,2019-06-13,313964,27242,11.524998164598781
Cook County,2019-06-14,330339,27611,11.964036072579768
Cook County,2019-06-15,307823,26546,11.595833647253823
Cook County,2019-06-16,268097,26258,10.210107395841268
Cook County,2019-06-17,308127,27545,11.186313305500091
Cook County,2019-06-18,324405,27740,11.694484498918529
Cook County,2019-06-19,327662,27642,11.85377324361479
Cook County,2019-06-20,310208,27207,11.401771602896314
Cook County,2019-06-21,323861,27536,11.761366937826844
Cook County,2019-06-22,307264,26959,11.397455395229793
Cook County,2019-06-23,285215,26691,10.685811696826645
Cook County,2019-06-24,303704,27275,11.134885426214483
Cook County,2019-06-25,325057,27742,11.717143681061208
Cook County,2019-06-26,333662,27913,11.953641672339053
Cook County,2019-06-27,336912,27869,12.089131292834333
Cook County,2019-06-28,331627,27588,12.020697404668697
Cook County,2019-06-29,314523,26998,11.64986295281132
Cook County,2019-06-30,291486,26652,10.936740207113912
Cook County,2019-07-01,311151,27428,11.34428321423363
Cook County,2019-07-02,327297,27386,11.951252464763018
Cook County,2019-07-03,329783,27250,12.102128440366972
Cook County,2019-07-04,274837,25654,10.713222109612536
Cook County,2019-07-05,291625,25328,11.513937144662034
Cook County,2019-07-06,279711,25269,11.069333966520242
Cook County,2019-07-07,269786,26481,10.187908311619651
Cook County,2019-07-08,315190,28001,11.256383700582122
Cook County,2019-07-09,326630,27995,11.667440614395428
Cook County,2019-07-10,324797,27934,11.627300064437604
Cook County,2019-07-11,331776,28089,11.81159884652355
Cook County,2019-07-12,330395,28092,11.76117755944753
Cook County,2019-07-13,314913,27278,11.544578048244006
Cook County,2019-07-14,292610,27436,10.665184429217087
Cook County,2019-07-15,316654,28189,11.23324701124552
Cook County,2019-07-16,317428,28065,11.310457865668983
Cook County,2019-07-17,328320,28083,11.691058647580387
Cook County,2019-07-18,323371,27840,11.615337643678162
Cook County,2019-07-19,327825,27839,11.775746255253422
Cook County,2019-07-20,306328,26969,11.358522748340688
Cook County,2019-07-21,279335,27119,10.300342932999005
Cook County,2019-07-22,316601,28303,11.186128678938628
Cook County,2019-07-23,326409,28332,11.520859805167301
Cook County,2019-07-24,325715,28318,11.50204816724345
Cook County,2019-07-25,325808,28272,11.524052065647991
Cook County,2019-07-26,323754,28020,11.554389721627409
Cook County,2019-07-27,302889,27060,11.193237250554324
Cook County,2019-07-28,283528,27213,10.418843934884062
Cook County,2019-07-29,306233,27988,10.94158210661712
Cook County,2019-07-30,320070,28274,11.320294263280752
Cook County,2019-07-31,322641,28439,11.345019163824325
Cook County,2019-08-01,323330,28469,11.35726579788542
Cook County,2019-08-02,325102,28183,11.53539367703935
Cook County,2019-08-03,303882,27289,11.135695701564734
Cook County,2019-08-04,282256,27339,10.324298621017594
Cook County,2019-08-05,310403,28363,10.943941049959454
Cook County,2019-08-06,319520,28418,11.24357801393483
Cook County,2019-08-07,320810,28404,11.294535980847767
