Entity,Code,Year,Indicator
West Virginia,WV,2018,10
Florida,FL,2018,4
Illinois,IL,2018,5
Minnesota,MN,2018,6
Maryland,MD,2018,7
Rhode Island,RI,2018,2
Idaho,ID,2018,12
New Hampshire,NH,2018,45
North Carolina,NC,2018,56
Vermont,VT,2018,34
Connecticut,CT,2018,45
Delaware,DE,2018,67
New Mexico,NM,2018,3
California,CA,2018,2
New Jersey,NJ,2018,5
Wisconsin,WI,2018,7
Oregon,OR,2018,9
Nebraska,NE,2018,5
Pennsylvania,PA,2018,2
Washington,WA,2018,45
Louisiana,LA,2018,34
Georgia,GA,2018,12
Alabama,AL,2018,34
Utah,UT,2018,23
Ohio,OH,2018,34
Texas,TX,2018,5
Colorado,CO,2018,2
South Carolina,SC,2018,5
Oklahoma,OK,2018,7
Tennessee,TN,2018,8
Wyoming,WY,2018,9
North Dakota,ND,2018,4
Kentucky,KY,2018,23
Maine,ME,2018,4
New York,NY,2018,5
Nevada,NV,2018,6
Michigan,MI,2018,7
Arkansas,AR,2018,8
Mississippi,MS,2018,9
Missouri,MO,2018,5
Montana,MT,2018,6
Kansas,KS,2018,8
Indiana,IN,2018,9
South Dakota,SD,2018,3
Massachusetts,MA,2018,10
Virginia,VA,2018,20
District of Columbia,DC,2018,29
Iowa,IA,2018,18
Arizona,AZ,2018,37
West Virginia,WV,2019,4
Florida,FL,2019,23
Illinois,IL,2019,4
Minnesota,MN,2019,5
Maryland,MD,2019,6
Rhode Island,RI,2019,7
Idaho,ID,2019,8
New Hampshire,NH,2019,9
North Carolina,NC,2019,5
Vermont,VT,2019,6
Connecticut,CT,2019,8
Delaware,DE,2019,9
New Mexico,NM,2019,3
California,CA,2019,10
New Jersey,NJ,2019,20
Wisconsin,WI,2019,29
Oregon,OR,2019,18
Nebraska,NE,2019,37
Pennsylvania,PA,2019,7
Washington,WA,2019,9
Louisiana,LA,2019,5
Georgia,GA,2019,2
Alabama,AL,2019,45
Utah,UT,2019,34
Ohio,OH,2019,12
Texas,TX,2019,34
Colorado,CO,2019,23
South Carolina,SC,2019,34
Oklahoma,OK,2019,5
Tennessee,TN,2019,2
Wyoming,WY,2019,5
North Dakota,ND,2019,7
Kentucky,KY,2019,8
Maine,ME,2019,9
New York,NY,2019,4
Nevada,NV,2019,23
Michigan,MI,2019,4
Arkansas,AR,2019,6
Mississippi,MS,2019,7
Missouri,MO,2019,2
Montana,MT,2019,12
Kansas,KS,2019,45
Indiana,IN,2019,56
South Dakota,SD,2019,34
Massachusetts,MA,2019,45
Virginia,VA,2019,67
District of Columbia,DC,2019,3
Iowa,IA,2019,2
Arizona,AZ,2019,5
West Virginia,WV,2020,3
Florida,FL,2020,4
Illinois,IL,2020,5
Minnesota,MN,2020,6
Maryland,MD,2020,7
Rhode Island,RI,2020,8
Idaho,ID,2020,9
New Hampshire,NH,2020,12
North Carolina,NC,2020,23
Vermont,VT,2020,12
Connecticut,CT,2020,14
Delaware,DE,2020,15
New Mexico,NM,2020,15
California,CA,2020,18
New Jersey,NJ,2020,18
Wisconsin,WI,2020,17
Oregon,OR,2020,16
Nebraska,NE,2020,151
Pennsylvania,PA,2020,40
Washington,WA,2020,30
Louisiana,LA,2020,25
Georgia,GA,2020,36
Alabama,AL,2020,45
Utah,UT,2020,13
Ohio,OH,2020,12
Texas,TX,2020,18
Colorado,CO,2020,30
South Carolina,SC,2020,27
Oklahoma,OK,2020,18
Tennessee,TN,2020,28
Wyoming,WY,2020,40
North Dakota,ND,2020,35
Kentucky,KY,2020,25
Maine,ME,2020,28
New York,NY,2020,24
Nevada,NV,2020,23
Michigan,MI,2020,22
Arkansas,AR,2020,21
Mississippi,MS,2020,19
Missouri,MO,2020,18
Montana,MT,2020,14
Kansas,KS,2020,18
Indiana,IN,2020,29
South Dakota,SD,2020,30
Massachusetts,MA,2020,40
Virginia,VA,2020,33
District of Columbia,DC,2020,22
Iowa,IA,2020,11
Arizona,AZ,2020,29
